Monthly average retail prices for food and other selected products 1 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table: 18-10-0002-01 (formerly CANSIM 326-0012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geography: Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Canada (map),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Products,January 2009,February 2009,March 2009,April 2009,May 2009,June 2009,July 2009,August 2009,September 2009,October 2009,November 2009,December 2009,January 2010,February 2010,March 2010,April 2010,May 2010,June 2010,July 2010,August 2010,September 2010,October 2010,November 2010,December 2010,January 2011,February 2011,March 2011,April 2011,May 2011,June 2011,July 2011,August 2011,September 2011,October 2011,November 2011,December 2011,January 2012,February 2012,March 2012,April 2012,May 2012,June 2012,July 2012,August 2012,September 2012,October 2012,November 2012,December 2012,January 2013,February 2013,March 2013,April 2013,May 2013,June 2013,July 2013,August 2013,September 2013,October 2013,November 2013,December 2013,January 2014,February 2014,March 2014,April 2014,May 2014,June 2014,July 2014,August 2014,September 2014,October 2014,November 2014,December 2014,January 2015,February 2015,March 2015,April 2015,May 2015,June 2015,July 2015,August 2015,September 2015,October 2015,November 2015,December 2015,January 2016,February 2016,March 2016,April 2016,May 2016,June 2016,July 2016,August 2016,September 2016,October 2016,November 2016,December 2016,January 2017,February 2017,March 2017,April 2017,May 2017,June 2017,July 2017,August 2017,September 2017,October 2017,November 2017,December 2017,January 2018,February 2018,March 2018,April 2018
"Homogenized milk, 1 litre",2.13,2.17,2.18,2.18,2.19,2.19,2.17,2.18,2.18,2.19,2.19,2.19,2.19,2.23,2.23,2.22,2.25,2.25,2.25,2.25,2.25,2.25,2.22,2.22,2.21,2.30,2.31,2.30,2.31,2.27,2.28,2.33,2.36,2.38,2.38,2.38,2.38,2.40,2.40,2.40,2.40,2.41,2.40,2.40,2.39,2.39,2.39,2.39,2.41,2.44,2.44,2.44,2.44,2.44,2.43,2.44,2.44,2.44,2.44,2.43,2.43,2.49,2.48,2.47,2.47,2.47,2.47,2.48,2.48,2.49,2.48,2.48,2.49,2.49,2.50,2.49,2.49,2.49,2.50,2.48,2.48,2.47,2.47,2.47,2.46,2.48,2.46,2.46,2.47,2.47,2.45,2.45,2.46,2.47,2.47,2.46,2.45,2.47,2.48,2.47,2.48,2.47,2.47,2.47,2.48,2.49,2.49,2.50,2.49,2.51,2.50,2.47
"Partly skimmed milk, 1 litre",2.05,2.10,2.10,2.11,2.12,2.12,2.10,2.11,2.11,2.11,2.11,2.12,2.12,2.16,2.16,2.16,2.17,2.17,2.17,2.18,2.16,2.15,2.14,2.14,2.13,2.22,2.23,2.21,2.22,2.20,2.21,2.27,2.28,2.28,2.28,2.28,2.28,2.30,2.30,2.31,2.30,2.30,2.31,2.30,2.30,2.30,2.30,2.30,2.30,2.32,2.31,2.31,2.31,2.29,2.28,2.28,2.29,2.28,2.27,2.28,2.29,2.34,2.33,2.33,2.33,2.31,2.33,2.33,2.34,2.33,2.34,2.33,2.34,2.34,2.34,2.34,2.33,2.33,2.35,2.33,2.33,2.33,2.33,2.34,2.32,2.33,2.30,2.30,2.31,2.32,2.30,2.30,2.31,2.30,2.31,2.30,2.29,2.32,2.33,2.33,2.32,2.30,2.32,2.33,2.34,2.34,2.33,2.34,2.33,2.34,2.35,2.33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Prices for these items are collected as part of the regular monthly Consumer Price Index (CPI) survey. Prices for the selected food, household supply and personal care items are observed in food supermarkets and drug stores, while prices for cigarettes are collected in supermarkets, department stores, drug stores and tobacco shops. Prices for regular unleaded self-serve gasoline are collected at gas stations. In each geographic area defined for pricing purposes, the average prices of each product are weighted by the population of the area in question to calculate the average Canadian retail price of each product. For regular unleaded self-serve gasoline, average city prices are weighted by provincial volume supplied and cities' population to calculate the Canada average retail price. Products that are priced can vary in quality between outlets or between geographic areas. Brands and outlets can also vary from month to month. Therefore, average prices may not necessarily be fully comparable from one month to another and should not be used as an appropriate measure of pure price change through time. A matched product and outlet sample is used for the CPI to determine the pure price movement of products through time.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"For concepts and definitions, see publication Your Guide to the Consumer Price Index, catalogue no. 62-557-X, or publication The Canadian Consumer Price Index Reference Paper, catalogue no. 62-553-X. Additional information can also be obtained from the Consumer Prices Division at 1-866-230-2248 (toll-free) or by email at cpd-info-dpc@statcan.gc.ca.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How to cite: Statistics Canada. Table 18-10-0002-01 Monthly average retail prices for food and other selected products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null/en/tv.action?pid=1810000201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
