"COICOP","GEO","UNIT","TIME","Value","Flag and Footnotes"
"Milk, fresh, unskimmed (1 l)","Belgium","Euro","2014",":",""
"Milk, fresh, unskimmed (1 l)","Bulgaria","Euro","2014","1.06",""
"Milk, fresh, unskimmed (1 l)","Czech Republic","Euro","2014","0.83",""
"Milk, fresh, unskimmed (1 l)","Germany (until 1990 former territory of the FRG)","Euro","2014",":",""
"Milk, fresh, unskimmed (1 l)","Spain","Euro","2014","0.82",""
"Milk, fresh, unskimmed (1 l)","Croatia","Euro","2014","0.81",""
"Milk, fresh, unskimmed (1 l)","Italy","Euro","2014","1.44","d"
"Milk, fresh, unskimmed (1 l)","Cyprus","Euro","2014","1.32",""
"Milk, fresh, unskimmed (1 l)","Lithuania","Euro","2014","0.90",""
"Milk, fresh, unskimmed (1 l)","Luxembourg","Euro","2014","1.39",""
"Milk, fresh, unskimmed (1 l)","Malta","Euro","2014","0.83",""
"Milk, fresh, unskimmed (1 l)","Netherlands","Euro","2014","0.95",""
"Milk, fresh, unskimmed (1 l)","Poland","Euro","2014","0.66",""
"Milk, fresh, unskimmed (1 l)","Romania","Euro","2014","1.08",""
"Milk, fresh, unskimmed (1 l)","Slovenia","Euro","2014","0.87",""
"Milk, fresh, unskimmed (1 l)","Slovakia","Euro","2014","0.96",""
"Milk, fresh, unskimmed (1 l)","Finland","Euro","2014",":",""
"Milk, fresh, unskimmed (1 l)","United Kingdom","Euro","2014","0.76","d"
"Milk, fresh, unskimmed (1 l)","Norway","Euro","2014","2.01",""
"Milk, fresh, unskimmed (1 l)","Switzerland","Euro","2014","1.36",""
"Milk, fresh, unskimmed (1 l)","Turkey","Euro","2014","0.90",""
