month;Yr_2010;Yr_2011;Yr_2012;Yr_2013;Yr_2014;Yr_2015;Yr_2016;Yr_2017;Yr_2018
January;46,37;59,09;51,82;44,22;66,46;38;35,34;49,78;52,43
February;46,37;59,1;50,67;46,53;66,54;37,62;33,45;49,4;52,06
March;49,43;59,09;50,62;46,56;66,48;37,62;33,44;49,4;52,06
April;49,41;59,14;48,4;46,55;64,58;35,34;33,44;50,54;52,62
May;43,5;59,12;48,46;46,55;64,56;35,35;33,44;50,55;
June;53,25;53,74;44,46;57,01;47,32;39,91;36,47;53,21;
July;52,56;53,7;42,3;61,81;47,31;32,69;40,27;53,21;
August;52,53;53,83;42,34;65,58;42,57;38,39;44,09;55,1;
September;52,45;50,31;42,36;65,58;42,55;38,39;44,08;55,09;
October;54,96;50,31;42,32;65,55;42,56;38,76;49,79;55,09;
November;54,74;51,78;44,21;63,84;38,01;38,75;49,78;52,44;
December;54,73;51,85;44,18;63,82;38;38,77;49,79;52,45;
