"COICOP","GEO","UNIT","TIME","Value","Flag and Footnotes"
"Milk, fresh, unskimmed (1 l)","Belgium","Euro","2013",":",""
"Milk, fresh, unskimmed (1 l)","Belgium","National currency","2013",":",""
"Milk, fresh, unskimmed (1 l)","Bulgaria","Euro","2013","1",""
"Milk, fresh, unskimmed (1 l)","Bulgaria","National currency","2013","1.95",""
"Milk, fresh, unskimmed (1 l)","Czech Republic","Euro","2013","0.83",""
"Milk, fresh, unskimmed (1 l)","Czech Republic","National currency","2013","21.44",""
"Milk, fresh, unskimmed (1 l)","Germany (until 1990 former territory of the FRG)","Euro","2013",":",""
"Milk, fresh, unskimmed (1 l)","Germany (until 1990 former territory of the FRG)","National currency","2013",":",""
"Milk, fresh, unskimmed (1 l)","Estonia","Euro","2013",":",""
"Milk, fresh, unskimmed (1 l)","Estonia","National currency","2013",":",""
"Milk, fresh, unskimmed (1 l)","Ireland","Euro","2013",":",""
"Milk, fresh, unskimmed (1 l)","Ireland","National currency","2013",":",""
"Milk, fresh, unskimmed (1 l)","Spain","Euro","2013","0.78",""
"Milk, fresh, unskimmed (1 l)","Spain","National currency","2013","0.78",""
"Milk, fresh, unskimmed (1 l)","Croatia","Euro","2013","0.82",""
"Milk, fresh, unskimmed (1 l)","Croatia","National currency","2013","6.25",""
"Milk, fresh, unskimmed (1 l)","Italy","Euro","2013","1.49","d"
"Milk, fresh, unskimmed (1 l)","Italy","National currency","2013","1.49","d"
"Milk, fresh, unskimmed (1 l)","Cyprus","Euro","2013","1.33",""
"Milk, fresh, unskimmed (1 l)","Cyprus","National currency","2013","1.33",""
"Milk, fresh, unskimmed (1 l)","Latvia","Euro","2013","0.99",""
"Milk, fresh, unskimmed (1 l)","Latvia","National currency","2013","0.69",""
"Milk, fresh, unskimmed (1 l)","Lithuania","Euro","2013","0.85",""
"Milk, fresh, unskimmed (1 l)","Lithuania","National currency","2013","2.94",""
"Milk, fresh, unskimmed (1 l)","Luxembourg","Euro","2013","1.33",""
"Milk, fresh, unskimmed (1 l)","Luxembourg","National currency","2013","1.33",""
"Milk, fresh, unskimmed (1 l)","Malta","Euro","2013","0.83",""
"Milk, fresh, unskimmed (1 l)","Malta","National currency","2013","0.83",""
"Milk, fresh, unskimmed (1 l)","Netherlands","Euro","2013","0.91",""
"Milk, fresh, unskimmed (1 l)","Netherlands","National currency","2013","0.91",""
"Milk, fresh, unskimmed (1 l)","Poland","Euro","2013","0.63",""
"Milk, fresh, unskimmed (1 l)","Poland","National currency","2013","2.63",""
"Milk, fresh, unskimmed (1 l)","Romania","Euro","2013","1.06",""
"Milk, fresh, unskimmed (1 l)","Romania","National currency","2013","4.7",""
"Milk, fresh, unskimmed (1 l)","Slovenia","Euro","2013","0.85",""
"Milk, fresh, unskimmed (1 l)","Slovenia","National currency","2013","0.85",""
"Milk, fresh, unskimmed (1 l)","Slovakia","Euro","2013","0.9",""
"Milk, fresh, unskimmed (1 l)","Slovakia","National currency","2013","0.9",""
"Milk, fresh, unskimmed (1 l)","Finland","Euro","2013",":",""
"Milk, fresh, unskimmed (1 l)","Finland","National currency","2013",":",""
"Milk, fresh, unskimmed (1 l)","United Kingdom","Euro","2013","0.73","d"
"Milk, fresh, unskimmed (1 l)","United Kingdom","National currency","2013","0.62","d"
"Milk, fresh, unskimmed (1 l)","Switzerland","Euro","2013","1.3",""
"Milk, fresh, unskimmed (1 l)","Switzerland","National currency","2013","1.6",""
"Milk, fresh, unskimmed (1 l)","Turkey","Euro","2013","0.93",""
"Milk, fresh, unskimmed (1 l)","Turkey","National currency","2013","2.35",""
